gene,correlation,pvalue,abs_corr
AC009159.3,0.007911169277651075,0.10668089455141357,0.007911169277651075
LIX1L-AS1,0.00791080414462769,0.10669706534181382,0.00791080414462769
PIK3CD-AS1,0.007910033058531449,0.10673122111914579,0.007910033058531449
C12orf71,0.00790957575121827,0.10675148194722957,0.00790957575121827
ANKEF1,0.00790863558854745,0.10679314507418551,0.00790863558854745
GOLGA6L1,0.007908296282942703,0.10680818450042588,0.007908296282942703
MDK,0.007906835184479155,0.10687296559616945,0.007906835184479155
IGHV2-70,0.007906591816908339,0.10688375887046893,0.007906591816908339
PTK6,0.007905420103905375,0.10693573605955767,0.007905420103905375
GREB1L,0.007903250232787923,0.1070320444273736,0.007903250232787923
TSNAXIP1,0.007902466299723973,0.10706685569810939,0.007902466299723973
TRBV11-1,0.007900703772393136,0.10714515510455241,0.007900703772393136
USP27X-AS1,0.007899783776279385,0.10718604349257138,0.007899783776279385
KCNA2,0.007898667176052449,0.10723568637518291,0.007898667176052449
AC010997.4,-0.007897556877923765,0.10728506713006761,0.007897556877923765
CATSPERE,0.007894915479080061,0.10740261632309415,0.007894915479080061
METTL27,0.007893816445702508,0.10745155623938311,0.007893816445702508
C10orf71,0.007893808321650604,0.10745191806886625,0.007893808321650604
TMEM9B-AS1,0.00789243482223386,0.10751310493718744,0.00789243482223386
AGK,0.007892393267312232,0.1075149565623207,0.007892393267312232
AC106870.1,0.007888268807038919,0.10769886201993492,0.007888268807038919
AC005086.1,0.007888268807038919,0.10769886201993492,0.007888268807038919
AC005699.1,0.007887890236052329,0.10771575458499562,0.007887890236052329
AC018557.2,0.007886469127874851,0.10777918588315534,0.007886469127874851
GLRB,-0.007886259203401089,0.10778855838840928,0.007886259203401089
UGDH,0.007885946054911507,0.10780254073911691,0.007885946054911507
WDR66,0.007885784014550172,0.10780977654507122,0.007885784014550172
AC055764.2,0.007885178599676643,0.10783681435092603,0.007885178599676643
EBF3,0.00788460288373346,0.10786253078321323,0.00788460288373346
AC092040.1,-0.007884450715522287,0.1078693287372159,0.007884450715522287
AC079193.2,0.00788398664542375,0.10789006267292738,0.00788398664542375
AC083843.1,0.007883581525444418,0.10790816538751151,0.007883581525444418
AL161729.4,0.007879320360358506,0.1080987204877487,0.007879320360358506
GJD4,-0.007878438277738877,0.10813819960669971,0.007878438277738877
AC009088.2,-0.007877464876414464,0.10818177909494098,0.007877464876414464
AC124045.1,0.007877299536466079,0.10818918279807026,0.007877299536466079
RAMP2-AS1,0.007877296669527498,0.10818931117930632,0.007877296669527498
AL022341.1,0.007870611605022492,0.10848899579855438,0.007870611605022492
AC097461.1,0.007866958937047239,0.10865301844605997,0.007866958937047239
ACY3,0.007866832199268923,0.10865871311149729,0.007866832199268923
AL139022.1,0.0078662590734487,0.10868446812704168,0.0078662590734487
AL359834.1,0.007863554049540636,0.10880609115226175,0.007863554049540636
AC008610.1,0.007862850711294908,0.10883773220763651,0.007862850711294908
PLA2G2A,0.007862701816523453,0.10884443146536628,0.007862701816523453
ERCC5,0.00786068866652003,0.1089350416216041,0.00786068866652003
AC005840.4,0.00785998102324437,0.10896690620630493,0.00785998102324437
AC079035.1,0.007859924635282197,0.1089694456261397,0.007859924635282197
IDH1-AS1,0.007859294986616746,0.10899780489872743,0.007859294986616746
ATP11A-AS1,0.007858966697338715,0.10901259330880003,0.007858966697338715
AC007687.1,0.007858909830520741,0.10901515514316712,0.007858909830520741
TRGV4,0.007857690778750752,0.10907008453824082,0.007857690778750752
YIPF2,0.007857294341752526,0.10908795235445401,0.007857294341752526
NKX6-2,-0.007856851306690251,0.109107923131291,0.007856851306690251
CHRNG,0.007856789534212611,0.10911070789080998,0.007856789534212611
AC092634.3,0.007853391731276083,0.10926397053083294,0.007853391731276083
CTBP1-DT,0.007848878181988175,0.10946782364433046,0.007848878181988175
AGAP9,0.007845791715037673,0.10960739601899253,0.007845791715037673
INSC,0.007845017981416921,0.10964240688119069,0.007845017981416921
AP001046.1,0.007843174921506834,0.10972583955578784,0.007843174921506834
SYNJ2BP-COX16,0.007841063462397125,0.10982148393833649,0.007841063462397125
NPIPB3,0.00784104979133272,0.10982210342163085,0.00784104979133272
NTRK3,0.007840644184743987,0.10984048411788547,0.007840644184743987
EGR4,0.007840411505408401,0.10985102944277784,0.007840411505408401
AC104938.1,0.007840082584587517,0.10986593791966726,0.007840082584587517
H1FX-AS1,0.007838488672839067,0.10993820529995008,0.007838488672839067
TMEM269,-0.007836430907381352,0.11003155918310566,0.007836430907381352
GPR37L1,0.00783551255486572,0.11007324195021567,0.00783551255486572
ZNF880,0.00783461667754846,0.11011391661951826,0.00783461667754846
GHET1,-0.007834345928128745,0.1101262115353988,0.007834345928128745
AC108718.1,0.007832212925523536,0.11022311057288639,0.007832212925523536
AC093503.2,0.007831589535443667,0.11025144294377752,0.007831589535443667
AC004490.1,0.007828991141075629,0.11036959898662281,0.007828991141075629
TTC23L,-0.007828342270703973,0.11039912048490373,0.007828342270703973
NCCRP1,-0.0078267994844611,0.11046933730176486,0.0078267994844611
AC010680.3,-0.00782654190996152,0.11048106372304117,0.00782654190996152
AC233280.1,0.007825013220676072,0.11055067956678608,0.007825013220676072
GAS2L2,0.007823949304932522,0.11059915026807658,0.007823949304932522
FGD1,0.007823477122583961,0.11062066769539589,0.007823477122583961
PRND,0.00782254334948462,0.11066322962230558,0.00782254334948462
AC092171.1,-0.007818538885530812,0.11084590210342032,0.007818538885530812
HSD11B1,-0.007817563906081433,0.11089041396728175,0.007817563906081433
AC006206.1,0.007816468175341314,0.11094045547008352,0.007816468175341314
FCN2,0.007814976767561247,0.1110085960008379,0.007814976767561247
AL158070.1,0.007814018753636751,0.1110523838676072,0.007814018753636751
AC069277.1,0.007811100135253187,0.11118586897488986,0.007811100135253187
AL359091.1,0.007809011136440971,0.11128148857310706,0.007809011136440971
CDH13,0.0078080193319226615,0.1113269090883064,0.0078080193319226615
AC132872.3,-0.00780692438636753,0.11137707002416412,0.00780692438636753
HSPB1,0.0078060167013248956,0.111418665822728,0.0078060167013248956
AC104109.3,0.0078041238792491445,0.11150544619001963,0.0078041238792491445
AC244517.7,-0.0078021042285499895,0.1115981000842907,0.0078021042285499895
ACAD11,0.007801894600670357,0.11160772049297875,0.007801894600670357
AC009495.2,-0.007799760672288312,0.11170568966205242,0.007799760672288312
C3orf18,0.0077978558586826695,0.11179319741502226,0.0077978558586826695
AL133268.2,0.0077967789794560335,0.11184269351825726,0.0077967789794560335
LINC00628,0.007796440699437532,0.11185824529426498,0.007796440699437532
LINC01623,-0.0077958014535752535,0.11188763805592886,0.0077958014535752535
AC099791.3,0.007793884000385985,0.11197583980947719,0.007793884000385985
LUZP1,-0.007792859461520969,0.1120229904880895,0.007792859461520969
RHPN2,0.007791036217702768,0.11210693738717768,0.007791036217702768
SCG5,0.007791021664884097,0.1121076076364135,0.007791021664884097
AC104389.4,0.007790987785214226,0.11210916802148561,0.007790987785214226
DSCR9,0.007789316797471342,0.11218614942457482,0.007789316797471342
ERMAP,0.007788594254349451,0.11221944945960385,0.007788594254349451
AC015726.1,0.007788097334431011,0.11224235566193336,0.007788097334431011
STMN2,0.007787466710716665,0.11227143043161175,0.007787466710716665
LINC01134,-0.007784505699438931,0.11240802662881139,0.007784505699438931
AL445471.2,-0.007783433967643445,0.11245749961837681,0.007783433967643445
TSHZ1,0.0077833419579470126,0.11246174774480369,0.0077833419579470126
ITFG1-AS1,0.007782990750857443,0.1124779642871614,0.007782990750857443
AP001767.3,0.007781852915748632,0.11253051504314657,0.007781852915748632
AC074050.3,0.007781143798945092,0.11256327529287631,0.007781143798945092
TGFBR3,0.0077810222105130986,0.11256889327114517,0.0077810222105130986
AL359762.2,0.007779915391767806,0.11262004385725582,0.007779915391767806
AC098872.1,0.007779182980839592,0.11265390161072793,0.007779182980839592
DNAJB4,-0.007779176157106458,0.1126542170946901,0.007779176157106458
NPAT,0.007778174079680027,0.11270055404031301,0.007778174079680027
TMEM198,-0.007775563689103006,0.11282133134803017,0.007775563689103006
PEX5L-AS1,0.007774921815753681,0.11285104510448715,0.007774921815753681
AC080037.1,0.007774842950980694,0.11285469635705637,0.007774842950980694
AC073115.1,0.007773895918941182,0.11289854897401566,0.007773895918941182
SH3GL3,-0.0077733192319817705,0.11292525922319155,0.0077733192319817705
